population,n_responder_samples,n_non_responder_samples,median_responder,median_non_responder,median_difference,mean_responder,mean_non_responder,u_statistic,p_value,p_value_adjusted,rank_biserial,significant
b_cell,331,325,9.785,9.7582,0.0268,10.0868,9.7742,55244.5,0.5484035572786878,0.8851654237883754,0.0271,no
cd8_t_cell,331,325,24.3957,24.601,-0.2053,24.8177,25.0008,52202.5,0.5138228421597713,0.8851654237883754,-0.0295,no
cd4_t_cell,331,325,29.6338,29.5305,0.1033,29.975,29.8304,54414.5,0.7962905866672978,0.8851654237883754,0.0117,no
nk_cell,331,325,14.9973,14.8905,0.1068,15.2195,15.1713,53436.5,0.8851654237883753,0.8851654237883754,-0.0065,no
monocyte,331,325,19.6056,20.286,-0.6804,19.901,20.2233,50754.5,0.21146455611914672,0.8851654237883754,-0.0564,no
